'id';'name';'height';'mass';'hair_color';'skin_color';'eye_color';'birth_year';'gender';'planet_id';'created_date';'updated_date';'url'
1;'Luke Skywalker';172;77;'blond';'fair';'blue';'19BBY';'male';1;'2014-12-09 13:50:51.644';'2014-12-20 21:17:56.891';'https://swapi.co/api/people/1/'
2;'C-3PO';167;75;'n/a';'gold';'yellow';'112BBY';'n/a';1;'2014-12-10 15:10:51.357';'2014-12-20 21:17:50.309';'https://swapi.co/api/people/2/'
3;'R2-D2';96;32;'n/a';'white, blue';'red';'33BBY';'n/a';8;'2014-12-10 15:11:50.376';'2014-12-20 21:17:50.311';'https://swapi.co/api/people/3/'
4;'Darth Vader';202;136;'none';'white';'yellow';'41.9BBY';'male';1;'2014-12-10 15:18:20.704';'2014-12-20 21:17:50.313';'https://swapi.co/api/people/4/'
5;'Leia Organa';150;49;'brown';'light';'brown';'19BBY';'female';2;'2014-12-10 15:20:09.791';'2014-12-20 21:17:50.315';'https://swapi.co/api/people/5/'
6;'Owen Lars';178;120;'brown, grey';'light';'blue';'52BBY';'male';1;'2014-12-10 15:52:14.024';'2014-12-20 21:17:50.317';'https://swapi.co/api/people/6/'
7;'Beru Whitesun lars';165;75;'brown';'light';'blue';'47BBY';'female';1;'2014-12-10 15:53:41.121';'2014-12-20 21:17:50.319';'https://swapi.co/api/people/7/'
8;'R5-D4';97;32;'n/a';'white, red';'red';NULL;'n/a';1;'2014-12-10 15:57:50.959';'2014-12-20 21:17:50.321';'https://swapi.co/api/people/8/'
9;'Biggs Darklighter';183;84;'black';'light';'brown';'24BBY';'male';1;'2014-12-10 15:59:50.509';'2014-12-20 21:17:50.323';'https://swapi.co/api/people/9/'
10;'Obi-Wan Kenobi';182;77;'auburn, white';'fair';'blue-gray';'57BBY';'male';20;'2014-12-10 16:16:29.192';'2014-12-20 21:17:50.325';'https://swapi.co/api/people/10/'
11;'Anakin Skywalker';188;84;'blond';'fair';'blue';'41.9BBY';'male';1;'2014-12-10 16:20:44.31';'2014-12-20 21:17:50.327';'https://swapi.co/api/people/11/'
12;'Wilhuff Tarkin';180;NULL;'auburn, grey';'fair';'blue';'64BBY';'male';21;'2014-12-10 16:26:56.138';'2014-12-20 21:17:50.33';'https://swapi.co/api/people/12/'
13;'Chewbacca';228;112;'brown';NULL;'blue';'200BBY';'male';14;'2014-12-10 16:42:45.066';'2014-12-20 21:17:50.332';'https://swapi.co/api/people/13/'
14;'Han Solo';180;80;'brown';'fair';'brown';'29BBY';'male';22;'2014-12-10 16:49:14.582';'2014-12-20 21:17:50.334';'https://swapi.co/api/people/14/'
15;'Greedo';173;74;'n/a';'green';'black';'44BBY';'male';23;'2014-12-10 17:03:30.334';'2014-12-20 21:17:50.336';'https://swapi.co/api/people/15/'
16;'Jabba Desilijic Tiure';175;1358;'n/a';'green-tan, brown';'orange';'600BBY';'hermaphrodite';24;'2014-12-10 17:11:31.638';'2014-12-20 21:17:50.338';'https://swapi.co/api/people/16/'
18;'Wedge Antilles';170;77;'brown';'fair';'hazel';'21BBY';'male';22;'2014-12-12 11:08:06.469';'2014-12-20 21:17:50.341';'https://swapi.co/api/people/18/'
19;'Jek Tono Porkins';180;110;'brown';'fair';'blue';NULL;'male';26;'2014-12-12 11:16:56.569';'2014-12-20 21:17:50.343';'https://swapi.co/api/people/19/'
20;'Yoda';66;17;'white';'green';'brown';'896BBY';'male';28;'2014-12-15 12:26:01.042';'2014-12-20 21:17:50.345';'https://swapi.co/api/people/20/'
21;'Palpatine';170;75;'grey';'pale';'yellow';'82BBY';'male';8;'2014-12-15 12:48:05.971';'2014-12-20 21:17:50.347';'https://swapi.co/api/people/21/'
22;'Boba Fett';183;78.2;'black';'fair';'brown';'31.5BBY';'male';10;'2014-12-15 12:49:32.457';'2014-12-20 21:17:50.349';'https://swapi.co/api/people/22/'
23;'IG-88';200;140;'none';'metal';'red';'15BBY';'none';28;'2014-12-15 12:51:10.076';'2014-12-20 21:17:50.351';'https://swapi.co/api/people/23/'
24;'Bossk';190;113;'none';'green';'red';'53BBY';'male';29;'2014-12-15 12:53:49.297';'2014-12-20 21:17:50.355';'https://swapi.co/api/people/24/'
25;'Lando Calrissian';177;79;'black';'dark';'brown';'31BBY';'male';30;'2014-12-15 12:56:32.683';'2014-12-20 21:17:50.357';'https://swapi.co/api/people/25/'
26;'Lobot';175;79;'none';'light';'blue';'37BBY';'male';6;'2014-12-15 13:01:57.178';'2014-12-20 21:17:50.359';'https://swapi.co/api/people/26/'
27;'Ackbar';180;83;'none';'brown mottle';'orange';'41BBY';'male';31;'2014-12-18 11:07:50.584';'2014-12-20 21:17:50.362';'https://swapi.co/api/people/27/'
28;'Mon Mothma';150;NULL;'auburn';'fair';'blue';'48BBY';'female';32;'2014-12-18 11:12:38.895';'2014-12-20 21:17:50.364';'https://swapi.co/api/people/28/'
29;'Arvel Crynyd';NULL;NULL;'brown';'fair';'brown';NULL;'male';28;'2014-12-18 11:16:33.02';'2014-12-20 21:17:50.367';'https://swapi.co/api/people/29/'
